Country,Military,Population
Afghanistan,,21000256
Albania,58.64935250258642,3051010
Algeria,2100.602520773225,31624696
Angola,438.68624541123177,17516139
Argentina,1114.1724829103634,37885028
Armenia,64.10640565236426,3105037
Australia,7946.76620159082,19495210
Austria,1881.74674132982,8081957
Azerbaijan,139.89409194333467,8171950
Bahrain,444.1489361702127,748324
Bangladesh,681.8161617197214,134139826
Belarus,204.3642373752038,9865548
Belgium,3147.146016658039,10332785
Belize,7.8299375,255987
Benin,26.00044764041849,7431783
Bolivia,157.3455362468619,8900583
Bosnia and Herzegovina,241.02551764292625,4198410
Botswana,223.5492588261323,1795130
Brazil,9664.561903326989,180476685
Brunei,226.18243148906228,347463
Bulgaria,455.9504665427689,7837161
Burkina Faso,42.46844995896629,12632269
Burundi,44.91006705352356,6648938
Cambodia,65.18271609987525,12561779
Cameroon,145.6266105011851,15914033
Canada,8495.399281217342,31360079
Central African Republic,10.681962960624858,3930648
Chad,34.29040385200319,8838369
Chile,1779.5531376599022,15693790
China,30284.127409997203,1280400000
Colombia,3347.522601667572,40454050
"Congo, Dem. Rep.",,51662071
"Congo, Rep.",70.70423020195469,3331158
Costa Rica,0.0,4122623
Cote d'Ivoire,,17683897
Croatia,733.6807390544332,4302174
Cuba,,11170051
Cyprus,242.4834909955241,982194
Czechia,1494.3903966278233,10196916
Denmark,2694.0824932138103,5375931
Djibouti,33.250994536380055,789129
Dominican Republic,271.66331717697125,8795101
Ecuador,505.0,13070609
Egypt,2902.768425240073,74393759
El Salvador,161.7,6011275
Equatorial Guinea,,754115
Eritrea,150.76442521241995,2547424
Estonia,122.06953065395736,1379350
Eswatini,18.338440521028016,1050809
Ethiopia,288.9323334597765,71073215
Fiji,30.9143042680947,849891
Finland,1611.406522046021,5200598
France,30578.398932821656,61816234
Gabon,94.69316544904646,1341696
"Gambia, The",2.2592856640793664,1522223
Georgia,33.97580703927713,3978515
Germany,27611.35567243826,82488495
Ghana,36.97548134378742,20758326
Greece,4734.177215189873,10902022
Guatemala,158.3681192587242,12147518
Guinea,98.08486517126894,8577790
Guinea-Bissau,6.363093769189713,1285678
Guyana,16.65224346366664,760323
Haiti,0.0,8661546
Honduras,63.602176056080914,7019908
Hungary,1079.1548236243004,10158608
Iceland,0.0,287523
India,14749.667251590712,1098313039
Indonesia,1369.8571288954472,220115092
Iran,3243.891033232663,67327117
Iraq,,26255343
Ireland,811.2559408968989,3931947
Israel,7981.518926426078,6570000
Italy,21610.059761893557,57059007
Jamaica,56.89814709630514,2638244
Japan,39333.708169840815,127445000
Jordan,521.8617771509169,5275532
Kazakhstan,245.95671944623857,14858948
Kenya,213.8945080007264,32779823
"Korea, North",0.0,23638411
"Korea, South",14101.703314709574,47644736
Kosovo,,1702310
Kuwait,2821.5218778996687,2047364
Kyrgyz Republic,25.93337839363744,4990700
Laos,11.435617473623502,5606101
Latvia,147.22484018430958,2310173
Lebanon,907.4626865671642,4446666
Lesotho,19.559896401567254,1997534
Liberia,,3060599
Libya,452.5136147574527,5405326
Lithuania,181.48144119054868,3443067
Luxembourg,138.59316949104704,446175
Madagascar,57.743396833993216,17211934
Malawi,14.815169794983738,11784498
Malaysia,2237.894736842105,24142445
Mali,49.355225627987856,11952660
Malta,28.40369079676857,395969
Mauritania,36.28113741494597,2821703
Mauritius,9.502035912155398,1204621
Mexico,3172.2687335075952,100917081
Moldova,6.978372204413986,2911385
Mongolia,25.28212841458692,2494617
Montenegro,,609828
Morocco,1474.874326261728,29301817
Mozambique,53.50958695835797,18694946
Myanmar,11000.356815937175,46480230
Namibia,87.99225857865228,1888525
Nepal,85.40588572177009,25332178
Netherlands,6728.153969224976,16148929
New Zealand,865.7888529685181,3948500
Nicaragua,34.831910071361904,5259006
Niger,20.66032700706468,12456517
Nigeria,896.9132014131931,129583026
North Macedonia,106.30957671974116,2020157
Norway,4065.868548482047,4538159
Oman,1868.465539661899,2403659
Pakistan,3273.4018933825378,163262807
Panama,0.0,3120990
Papua New Guinea,17.02086146610461,5892596
Paraguay,69.8927412933427,5286512
Peru,839.613251812882,27334503
Philippines,1199.1217666984476,81285572
Poland,3776.173214412639,38230364
Portugal,1965.2277622059937,10419631
Qatar,760.9890109890109,713186
Romania,1056.1360624890335,21730496
Russia,13943.825063400162,145306497
Rwanda,51.11861411757281,8372306
Saudi Arabia,18501.86666666667,22623415
Senegal,74.36139503119135,10180950
Serbia,678.5116998430082,7496522
Seychelles,11.699935949255751,83723
Sierra Leone,27.133961877629183,5140113
Singapore,4528.116430897078,4175950
Slovakia,440.0592860418592,5376912
Slovenia,326.9595228120574,1994530
Somalia,,9411103
South Africa,1766.0828977202657,47661514
South Sudan,,6686100
Spain,10270.839019340265,41431558
Sri Lanka,571.657950222711,19110707
Sudan,484.6072630323654,27570318
Sweden,4354.573015429613,8924958
Switzerland,2882.6967618583226,7284753
Syria,1102.9121569096455,17164021
Taiwan,7531.453362255963,22469616
Tajikistan,25.57766819939728,6541755
Tanzania,140.75356177379493,36353531
Thailand,1812.993335676593,64222580
Timor-Leste,,909639
Togo,,5281538
Trinidad and Tobago,19.492116735054445,1345964
Tunisia,345.4242366694098,10094561
Turkiye,9050.377181982842,65988663
Turkmenistan,,4698968
Uganda,142.19159411421103,25545090
Ukraine,872.3918732704792,48202470
United Arab Emirates,5354.118447923757,3633655
United Kingdom,44245.26599830941,59370479
United States,378463.1387538414,287625193
Uruguay,344.2630662840476,3306441
Uzbekistan,45.91443298969072,25271850
Venezuela,1071.3639691631854,25330929
Viet Nam,,80642308
Yemen,737.3665480427046,19660653
Zambia,,10508294
Zimbabwe,677.0,11984644
